station_id,nearest_subway_name,nearest_subway_dist_m,subway_count_500m
66dba303-0aca-11e7-82f6-3863bb44ef7c,Clinton-Washington Avs,1124.8,0
66dde630-0aca-11e7-82f6-3863bb44ef7c,96 St,255.1,2
66dd1d0f-0aca-11e7-82f6-3863bb44ef7c,Nassau Av,444.9,1
b9720921-8170-43ea-a5ae-b61b9161eb49,86 St,478.9,1
66db2a71-0aca-11e7-82f6-3863bb44ef7c,Christopher St-Stonewall,374.5,2
bc9c9006-3d40-400d-8b5c-17f56e6dfcee,163 St-Amsterdam Av,20.5,3
faf98f78-51ab-4248-b7e7-f402902385a6,65 St,95.6,2
abc1311e-e000-4211-af9e-0cf92242711e,161 St-Yankee Stadium,400.2,2
a45a712c-1e3d-4fee-bef8-adafafd80670,61 St-Woodside,335.8,1
18a2cbb6-91f2-4393-82fb-b40a8ba90f20,181 St,607.3,0
1861678548643203686,West Farms Sq-E Tremont Av,874.9,0
1826348248869574940,Church Av,106.4,1
807e9f5a-49b6-4b7e-847b-4a60cff330ed,Myrtle-Wyckoff Avs,375.6,3
4efda436-cd19-4ec3-acc7-1a622f723264,Ralph Av,369.6,2
66dc8db1-0aca-11e7-82f6-3863bb44ef7c,York St,257.7,2
ad57266c-34da-43da-8b48-2ba856002fbf,Gates Av,140.3,1
1846085439406916338,Jackson Hts-Roosevelt Av,290.1,3
1880643645302280466,Eastern Pkwy-Brooklyn Museum,436.9,2
59af018a-2ee9-489a-b445-bb6fba9c1119,168 St-Washington Hts,469.0,1
9af90faf-0b9b-451b-9cb0-20ff421ca1d9,Simpson St,82.2,3
1817432434869846072,Church Av,317.2,2
a3d72b5b-9587-4f33-9722-c01e20a9b358,Kosciuszko St,192.5,2
55a4dc76-d839-4e06-9bf4-2f343391343c,Seneca Av,634.1,0
5f63411c-91ce-4788-a567-d388cc812a15,125 St,206.5,1
66dd24ca-0aca-11e7-82f6-3863bb44ef7c,33 St-Rawson St,371.4,1
66db4549-0aca-11e7-82f6-3863bb44ef7c,Fulton St,536.8,0
d2b23c87-b7c3-48c2-a634-db4b76ecbcf7,Utica Av,296.8,1
54df610f-0e47-4958-98ca-37bb1b1c4dca,155 St,272.7,4
1786700154621508184,Nassau Av,705.2,0
66dd056e-0aca-11e7-82f6-3863bb44ef7c,Graham Av,277.1,1
66db277a-0aca-11e7-82f6-3863bb44ef7c,Chambers St,356.8,2
66de1fe7-0aca-11e7-82f6-3863bb44ef7c,Union St,276.0,1
66dc840f-0aca-11e7-82f6-3863bb44ef7c,33 St,296.1,4
59df3823-0369-4a10-8132-05df34a170af,DeKalb Av,322.4,4
d45b62b9-7d6b-43b2-bf1e-2c898c55dfd2,181 St,440.6,2
09dfc0e3-a448-477c-bb3c-9467dc51ef8d,14 St,27.5,4
901ad0c4-383e-490a-8b54-0656ce2358d6,Northern Blvd,1109.2,0
765ee572-6c7a-4ed3-a2d4-f1496ea53996,182-183 Sts,390.6,1
1795146692060860976,Hunts Point Av,350.4,3
6b60bf55-3da4-439a-bde1-fc80be8623ba,175 St,250.4,1
f3782e27-c49a-4ee9-b188-0c13cad54688,138 St-Grand Concourse,82.6,2
66de13dc-0aca-11e7-82f6-3863bb44ef7c,103 St,434.9,2
1828966626550010820,65 St,1207.9,0
99614ecb-2329-49fa-a13a-fa1ef2bb32d6,170 St,669.8,0
ff745407-c087-4c0d-a965-98baf078f292,Middle Village-Metropolitan Av,1249.7,0
1817822909864556798,Astoria-Ditmars Blvd,107.7,1
ca7ec509-cefc-4ac6-b729-08999d191051,Astoria-Ditmars Blvd,1457.6,0
e85c3165-ad0a-44a3-9683-d8cf7575f465,Fort Hamilton Pkwy,507.6,0
f62526d4-9c6a-4c76-be76-c64b5be669d2,Astoria-Ditmars Blvd,560.3,0
62f8f806-bd04-4282-9c5d-ad4293644e3c,Tremont Av,404.3,1
44fa161f-eb62-459b-b53e-da83788cfa2a,135 St,283.2,2
66db76a1-0aca-11e7-82f6-3863bb44ef7c,2 Av,692.8,0
1786697771181570266,Bedford Av,770.5,0
63a838a8-9acf-4ba1-91f5-c676f6ef2f7d,Greenpoint Av,354.0,1
92fc1ad7-0867-4655-b02f-ede65d336b14,46 St,353.1,1
66dce8db-0aca-11e7-82f6-3863bb44ef7c,Montrose Av,27.1,2
1860188747953293684,West Farms Sq-E Tremont Av,731.4,0
66dc6a86-0aca-11e7-82f6-3863bb44ef7c,23 St-Baruch College,131.6,3
cf1a96a7-f695-4ba2-bcf2-899552e21e47,Broadway Junction,272.3,5
66dc81ce-0aca-11e7-82f6-3863bb44ef7c,51 St,14.1,3
66dc120f-0aca-11e7-82f6-3863bb44ef7c,23 St,169.3,5
66880044-5411-4143-af39-eaa0a0fd0528,125 St,182.1,1
0bd9bd58-42e6-4680-9d19-83943372221f,8 Av,390.8,2
66dc7773-0aca-11e7-82f6-3863bb44ef7c,23 St-Baruch College,193.0,5
038b7369-9c6e-4eb2-8569-f7461443302f,Alabama Av,181.3,6
1934749166596673908,8 St-NYU,245.8,3
cc5f0e68-dd5f-4db1-81c7-04a4d6674fba,Mt Eden Av,219.9,2
66dbc37a-0aca-11e7-82f6-3863bb44ef7c,Delancey St-Essex St,349.4,2
1848241684520917882,Junction Blvd,591.2,0
12279d2b-29f6-4e02-a7f0-244970f7edd5,36 St,136.5,3
1859088223746072684,Nostrand Av,231.8,1
66dc2995-0aca-11e7-82f6-3863bb44ef7c,23 St,166.4,5
66dd9fa6-0aca-11e7-82f6-3863bb44ef7c,47-50 Sts-Rockefeller Ctr,317.3,2
38af3d1a-9916-46cf-b22e-86fc8648bf30,161 St-Yankee Stadium,881.2,0
66de1ea2-0aca-11e7-82f6-3863bb44ef7c,Union St,515.1,0
922763d6-d73c-4678-8bcd-f42ee3a236db,Crown Hts-Utica Av,321.0,1
66dd01c5-0aca-11e7-82f6-3863bb44ef7c,Bedford Av,235.3,1
1864605386632012480,182-183 Sts,897.9,0
053312f2-e77e-4674-b28b-ad357fbcb4ee,50 St,95.5,4
66dc1687-0aca-11e7-82f6-3863bb44ef7c,Nostrand Av,68.5,2
