start_station_id,matched_station_name,borough,GEOID,latitude,longitude,capacity,total_rides_2025,avg_daily_rides,avg_member_share,avg_trip_duration_min,ebike_share,avg_weekday_rides,avg_weekend_rides,weekday_weekend_ratio,rides_per_dock,median_household_income,poverty_rate,no_vehicle_share,households_per_sqkm,nearest_subway_dist_m,subway_count_500m,nearest_subway_name,income_band,poverty_band
1964.01,101 St & Fort Hamilton Pkwy,Brooklyn,36047016200,40.61124,-74.03282,12.0,40,1.818,0.667,8.88,0.725,1.875,1.667,1.12,0.15,100278.0,14.9,0.4294755877034358,4652.7,620.5,0.0,Bay Ridge-95 St,Mid-High,Moderate
2009.04,Shore Rd & 4 Ave,Brooklyn,36047005602,40.6115,-74.03513,12.0,42,2.211,0.594,15.11,0.643,2.333,2.0,1.17,0.18,96397.0,2.8,0.4601036269430051,7145.2,673.3,0.0,Bay Ridge-95 St,Mid-High,Low
2042.01,4 Ave & 99 St,Brooklyn,36047016200,40.61327,-74.03315,16.0,44,1.692,0.785,10.55,0.295,1.611,1.875,0.86,0.11,100278.0,14.9,0.4294755877034358,4652.7,419.2,1.0,Bay Ridge-95 St,Mid-High,Moderate
2086.07,99 St & 3 Ave,Brooklyn,36047005602,40.61451,-74.03502,14.0,61,1.906,0.716,9.39,0.787,2.042,1.5,1.36,0.14,96397.0,2.8,0.4601036269430051,7145.2,421.3,1.0,Bay Ridge-95 St,Mid-High,Low
2118.13,Fort Hamilton Pkwy & 95 St,Brooklyn,36047016200,40.61466,-74.02946,16.0,22,1.467,0.644,13.9,0.5,1.556,1.333,1.17,0.09,100278.0,14.9,0.4294755877034358,4652.7,248.8,1.0,Bay Ridge-95 St,Mid-High,Moderate
2127.03,Shore Rd & 97 St,Brooklyn,36047005601,40.61529,-74.03779,12.0,45,1.957,0.62,10.26,0.4,1.688,2.571,0.66,0.16,104598.0,18.0,0.580289455547898,8365.9,602.1,0.0,Bay Ridge-95 St,Mid-High,Elevated
2158.08,4 Ave & 94 St,Brooklyn,36047005800,40.61689,-74.03091,23.0,110,3.438,0.752,11.38,0.745,3.174,4.111,0.77,0.15,77648.0,7.6,0.5633995887594243,7547.2,29.9,1.0,Bay Ridge-95 St,Mid-Low,Low
2190.08,Fort Hamilton Pkwy & 92 St,Brooklyn,36047016000,40.61717,-74.02744,16.0,61,2.103,0.431,16.76,0.721,2.0,2.375,0.84,0.13,83920.0,16.7,0.5536967080410146,7164.7,296.4,1.0,Bay Ridge-95 St,Mid-Low,Elevated
2200.07,96 St & Marine Ave,Brooklyn,36047005601,40.61699,-74.03568,16.0,105,2.917,0.665,12.34,0.562,2.769,3.3,0.84,0.18,104598.0,18.0,0.580289455547898,8365.9,407.5,1.0,Bay Ridge-95 St,Mid-High,Elevated
2231.10,3 Ave & 92 St,Brooklyn,36047005800,40.61946,-74.03261,16.0,128,3.368,0.659,13.45,0.547,2.92,4.231,0.69,0.21,77648.0,7.6,0.5633995887594243,7547.2,347.9,1.0,Bay Ridge-95 St,Mid-Low,Low
