station_id,station_name,latitude,longitude,capacity,GEOID,median_household_income,total_households,households_no_vehicle,poverty_rate,no_vehicle_share,households_per_sqkm,nearest_subway_name,nearest_subway_dist_m,subway_count_500m
9d95a4a9-bcfe-4189-bb7d-abd9992ecbaf,Crescent St & Broadway,40.7633589,-73.9286471,19,36081005300,113816.0,2392,1567,5.8,0.6551003344481605,12173.2,Broadway,314.9,1
2104275164415193448,Washington St & W 10 St,40.7333,-74.00858,68,36061007500,187647.0,2294,1637,7.0,0.7136006974716652,13841.6,Christopher St-Stonewall,478.3,1
1786375069262703476,Norman Ave & Leonard St,40.725819,-73.950815,31,36047057300,150885.0,1405,690,7.1,0.491103202846975,8257.8,Nassau Av,137.3,1
1861271680294357158,DeKalb Ave & S Portland Ave,40.68967018552252,-73.97527355121376,23,36047003300,136217.0,2507,2179,9.6,0.8691663342640606,15232.3,Fulton St,283.8,3
ba0a4ada-c9f6-48b4-a7b3-7220f6fb88c2,Grand Concourse & E 171 St,40.839549,-73.913004,25,36005022500,50243.0,2225,1672,25.7,0.7514606741573033,12359.6,170 St,42.9,2
1828969323789472168,92 St & Astoria Blvd,40.76313,-73.8772,18,36081034700,77025.0,1025,231,20.9,0.2253658536585366,2677.8,90 St-Elmhurst Av,1637.8,0
59ad8f95-32a4-43de-b1c3-79c667b2d2df,36 Ave & 31 St,40.756540051858984,-73.929555582706,27,36081005300,113816.0,2392,1567,5.8,0.6551003344481605,12173.2,36 Av,29.4,2
66dea894-0aca-11e7-82f6-3863bb44ef7c,Murray St & Greenwich St,40.71485150526251,-74.01122331619263,49,36061002100,250001.0,3387,2463,0.9,0.7271922054915855,14277.3,Chambers St,179.1,7
d34f2271-10ee-40c3-a93a-09df58860512,61 St & 60 Ln,40.70055,-73.8943,9,36081055700,101636.0,1355,751,9.5,0.5542435424354244,5675.3,Fresh Pond Rd,640.6,0
a0eec052-257a-4c79-8171-6e2ad9864ad0,Ave D & E 10 St,40.72506551015475,-73.97515833377838,30,36061002800,70691.0,3205,2519,19.5,0.7859594383775351,17454.0,1 Av,851.9,0
2b54cb2c-31be-4620-a13c-0fa72b58c90a,Lincoln Pl & Classon Ave,40.6721683,-73.9609,28,36047021700,112957.0,1937,1526,13.4,0.7878162106350026,16184.6,Botanic Garden,246.3,4
04d557d6-6bc3-4244-b0f1-81ed1449ccd6,Goulden Ave & W 205 St,40.87812,-73.89192,19,36005040900,67793.0,1409,604,3.9,0.4286728176011355,1706.4,Bedford Park Blvd-Lehman College,546.3,0
