start_station_id,start_station_name,start_lat,start_lng
3315.05,44 St & 3 Ave,40.651173000000014,-74.01140499999998
3318.05,E 34 St & Church Ave,40.65115999999998,-73.94576999999995
3327.01,Lott St & Erasmus St,40.64948999999996,-73.95408000000003
3335.09,Caton Ave & St. Pauls Pl,40.651530000000015,-73.96277
3341.06,Church Ave & E 45 St,40.65159,-73.93534999999987
3344.02,Park Circle & East Dr,40.651566,-73.97221199999998
3347.03,41 St & 4 Ave,40.65135399999999,-74.007168
3350.04,E 38 St & Church Ave,40.65105999999997,-73.94193000000007
3353.04,Greenwood Ave & E 4 St,40.65073899999996,-73.97773899999996
3356.05,44 St & 2 Ave,40.652502000000005,-74.013587
3359.01,Church Ave & Nostrand Ave,40.650739999999985,-73.94985999999996
3359.03,Linden Blvd & Nostrand Ave,40.65272000000001,-73.94994000000004
3368.04,Caton Ave & Bedford Ave,40.65237,-73.95623000000002
3373.01,E 51 St & Linden Blvd,40.653990000000015,-73.92967000000004
3376.02,Parade Pl & Crooke Ave,40.651846999999975,-73.96524799999999
3376.04,Parkside Ave & Parade Pl,40.653199999999984,-73.96638999999999
3379.03,5 Ave & 37 St,40.652657,-74.00235600000003
3382.04,Troy Ave & Linden Blvd,40.65330000000003,-73.93644000000003
3385.06,Prospect Park SW & Greenwood Ave,40.65256300000001,-73.97257300000001
3388.02,41 St & 3 Ave,40.652512,-74.00890599999993
3388.03,40 St & 3 Ave,40.653500000000086,-74.00901999999994
3391.1,E 34 St & Linden Blvd,40.653020000000005,-73.94598999999998
3391.10,E 34 St & Linden Blvd,40.653020000000005,-73.94598999999998
3394.03,McDonald Ave & Vanderbilt St,40.651654000000036,-73.98123100000005
3400.04,Rogers Ave & Lenox Rd,40.65378062219281,-73.95272388638053
3408.05,Ocean Ave & Crooke Ave,40.65326000000001,-73.96172000000001
3420.01,36 St & 4 Ave,40.654143999999974,-74.00422000000003
3423.1,Clarkson Ave & E 40 St,40.65592,-73.94068
3423.10,Clarkson Ave & E 40 St,40.65592,-73.94067999999983
3426.02,Prospect Ave & Vanderbilt St,40.653367999999986,-73.976291
3428.02,42 St & 1 Ave,40.654797999999985,-74.01437200000008
3431.02,New York Ave & Lenox Rd,40.654579999999996,-73.94716000000003
3439.03,Bedford Ave & Clarkson Ave,40.65519000000002,-73.95640000000003
3448.02,Parkside Ave & Ocean Ave,40.654849999999996,-73.96216999999997
3451.01,34 St & 5 Ave,40.65409800000002,-74.00113100000004
3454.01,Clarkson Ave & Troy Ave,40.656324174024064,-73.93647906508839
3457.03,Prospect Park SW & Vanderbilt St,40.65482000000002,-73.97321699999998
3460.01,2 Ave & 36 St,40.657088666684835,-74.00870203971863
3460.02,36 St & 3 Ave,40.655715999999984,-74.00666400000003
3460.06,2 Ave & 37 St,40.656240000000004,-74.00932999999999
3463.01,Clarkson Ave & E 37 St,40.65577,-73.94319999999996
3472.03,Clarkson Ave & Nostrand Ave,40.6555,-73.94974999999997
3480.04,Parkside Ave & Flatbush Ave,40.65563,-73.95968000000013
3486.02,Clarkson Ave & Utica Ave,40.65665999999999,-73.93109000000001
3492.04,34 St & 4 Ave,40.655278000000024,-74.00310099999999
3495.08,Lenox Rd & E 43 St,40.65495999999992,-73.9376500000001
3498.09,Prospect Park SW & 16 St,40.657265000000024,-73.97416500000003
3501.01,39 St & 2 Ave,40.6553997745,-74.01062786580005
3504.02,New York Ave & Hawthorne St,40.65794,-73.94735000000001
3507.04,Prospect Park W & 20 St,40.65663300000002,-73.98386400000004
3512.03,Winthrop St & Rogers Ave,40.65685999999996,-73.95331
3515.01,7 Ave & 22 St,40.658029000000006,-73.98960499999998
3520.01,Flatbush Ave & Fenimore St,40.65797999999999,-73.96050999999999
3523.06,29 St & 5 Ave,40.656986,-73.99819400000003
3526.04,Winthrop St & Schenectady Ave,40.65820000000001,-73.93379999999996
3532.02,2 Ave & 32 St,40.659176000000016,-74.00658399999999
3535.03,Winthrop St & Albany Ave,40.657699999999984,-73.93979999999998
3538.09,11 Ave & Prospect Ave,40.656289999999984,-73.977335
3544.02,Winthrop St & Nostrand Ave,40.65707000000001,-73.95005000000006
3547.04,19 St & 8 Ave,40.658489,-73.98554299999998
3552.09,Bedford Ave & Fenimore St,40.65815000000001,-73.95674
3555.04,24 St & 5 Ave,40.659555000000005,-73.99506799999997
3564.04,30 St & 4 Ave,40.657743,-74.00114099999998
3567.05,Rutland Rd & E 45 St,40.660340000000005,-73.93617999999998
3576.1,Rutland Rd & Brooklyn Ave,40.65969000000001,-73.94517000000002
3579.04,Windsor Pl & Howard Pl,40.65949055893893,-73.98013919591904
3585.06,Nostrand Ave & Rutland Rd,40.65950000000001,-73.95041000000003
3588.01,7 Ave & 20 St,40.65905299999999,-73.98853999999996
3593.01,Maple St & Flatbush Ave,40.66026000000002,-73.96044999999995
3593.1,Flatbush Ave & Lincoln Rd,40.66131,-73.96091000000001
3596.04,4 Ave & 26 St,40.66007900000001,-73.99863300000001
3608.06,Maple St & Albany Ave,40.66155000000001,-73.93973999999999
3611.02,Prospect Park SW & 10 Ave,40.659945000000015,-73.97750400000002
3617.02,Maple St & New York Ave,40.661039999999986,-73.94794999999999
3620.02,Windsor Pl & 8 Ave,40.660905999999976,-73.98307399999999
3625.04,Bedford Ave & Maple St,40.66034999999999,-73.95679000000001
3625.07,Rogers Ave & Lincoln Rd,40.66127,-73.95351999999995
3628.11,6 Ave & 21 St,40.66016000000002,-73.990974
3633.08,Lincoln Rd & Ocean Ave,40.66050000000001,-73.9626
3639.04,Schenectady Ave & Maple St,40.66178,-73.93445000000014
3648.08,Kingston Ave & E New York Ave,40.662190000000024,-73.94292999999996
3651.04,West Drive & Prospect Park West,40.6610633719006,-73.97945255041122
3657.06,Sterling St & Nostrand Ave,40.66318,-73.95076000000009
