GEOID,tract_name,median_household_income,total_households,households_no_vehicle,poverty_rate,no_vehicle_share
1400000US36005022702,,34145,545,437,47.5,0.8018348623853211
1400000US36005022703,,60694,695,622,37.5,0.8949640287769784
1400000US36005022800,,83859,2381,1217,9.8,0.5111297774044519
1400000US36005022901,,52222,1970,1579,30.3,0.801522842639594
1400000US36005022902,,47833,1186,783,30.7,0.6602023608768971
1400000US36005023000,,53826,965,446,38.3,0.46217616580310883
1400000US36005023100,,,404,222,29.1,0.5495049504950495
1400000US36005023200,,50893,867,408,33.2,0.47058823529411764
1400000US36005023301,,37936,1622,1317,31.2,0.811960542540074
1400000US36005023302,,69030,1082,783,24.1,0.7236598890942699
1400000US36005023501,,19940,1211,1013,40.6,0.8364987613542527
1400000US36005023502,,41780,1703,1393,30.7,0.817968291250734
1400000US36005023600,,52368,566,352,26.4,0.6219081272084805
1400000US36005023702,,34922,317,201,33.2,0.6340694006309149
1400000US36005023703,,32892,1835,1437,39.4,0.7831062670299728
1400000US36005023704,,32228,1392,1114,37.1,0.8002873563218391
1400000US36005023800,,64408,802,342,21.9,0.42643391521197005
1400000US36005023900,,37543,2583,2029,39.3,0.7855207123499807
1400000US36005024000,,68832,1319,541,18.8,0.41015921152388174
1400000US36005024100,,22361,2309,2016,40.4,0.8731052403637939
1400000US36005024300,,30446,2007,1654,28.8,0.8241155954160438
1400000US36005024400,,82083,830,275,17.3,0.3313253012048193
1400000US36005024501,,45900,1630,1021,32.8,0.6263803680981596
1400000US36005024502,,60221,1256,677,24.0,0.5390127388535032
1400000US36005024600,,97115,774,211,7.2,0.27260981912144705
1400000US36005024700,,48906,735,448,16.0,0.6095238095238096
1400000US36005024800,,61210,1250,501,15.2,0.4008
1400000US36005024900,,,0,0,,
1400000US36005025000,,109896,905,375,10.8,0.4143646408839779
1400000US36005025100,,36845,2314,1651,40.5,0.7134831460674157
1400000US36005025200,,83688,921,189,5.0,0.20521172638436483
1400000US36005025300,,42976,1862,1451,33.4,0.7792696025778733
1400000US36005025400,,90108,833,281,13.3,0.33733493397358943
1400000US36005025500,,49159,2311,1795,22.5,0.7767200346170489
1400000US36005025600,,60815,626,235,6.7,0.3753993610223642
1400000US36005025700,,38667,656,395,39.9,0.6021341463414634
1400000US36005026100,,59242,1126,640,14.5,0.5683836589698046
1400000US36005026300,,42100,2248,1729,23.6,0.7691281138790036
1400000US36005026400,,65337,2227,623,12.5,0.2797485406376291
1400000US36005026500,,71688,2181,1182,15.2,0.5419532324621733
1400000US36005026601,,51042,1400,597,30.7,0.42642857142857143
1400000US36005026602,,53969,2532,1454,17.0,0.5742496050552922
1400000US36005026701,,52286,1290,973,29.0,0.7542635658914729
1400000US36005026702,,75924,2546,1383,20.2,0.5432050274941084
